GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.ps.dsc.tools,DSCTools.__CLR4_4_1f2rf2rlde03aae,93,35,1,1,0,1,3,1,2,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.ps.dsc.tools,PageExtractor.new DSCFilter() {...},56,0,12,0,6,0,8,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.ps.dsc.tools,PageExtractor.__CLR4_4_1f4ff4flde03aae,128,0,2,0,1,0,4,0,3,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.ps.dsc.tools,PageExtractor.__CLR4_4_1f4ff4flde03aae.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.ps.dsc.tools,PageExtractor,411,0,84,0,40,0,45,0,3,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.ps.dsc.tools,DSCTools,369,138,107,20,29,16,63,6,3,2
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.ps.dsc.tools,DSCTools.__CLR4_4_1f2rf2rlde03aae.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,XMPBasicAdapter.__CLR4_4_1h8vh8vlde03aps,93,35,1,1,0,1,3,1,2,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,DublinCoreAdapter,349,290,14,10,69,55,32,20,22,18
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,DublinCoreSchema,12,56,0,0,3,10,1,3,1,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,XMPBasicSchema.__CLR4_4_1ha0ha0lde03aq7.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,DublinCoreAdapter.__CLR4_4_1h65h65lde03aps,93,35,1,1,0,1,3,1,2,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,DublinCoreAdapter.__CLR4_4_1h65h65lde03aps.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,XMPBasicSchema,12,60,0,0,3,11,1,3,1,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,DublinCoreSchema.__CLR4_4_1h8mh8mlde03aps,93,35,1,1,0,1,3,1,2,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,DublinCoreSchema.__CLR4_4_1h8mh8mlde03aps.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,XMPBasicAdapter,109,203,11,9,21,31,16,10,7,9
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,XMPBasicAdapter.__CLR4_4_1h8vh8vlde03aps.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp.schemas,XMPBasicSchema.__CLR4_4_1ha0ha0lde03aq7,93,35,1,1,0,1,3,1,2,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image,GraphicsUtil.__CLR4_4_17n7nlde037kf,128,0,2,0,1,0,4,0,3,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image,GraphicsConstants.__CLR4_4_17m7mlde037g3,128,0,2,0,1,0,4,0,3,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image,GraphicsUtil.__CLR4_4_17n7nlde037kf.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image,GraphicsUtil,5984,0,1077,0,580,0,569,0,29,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image,GraphicsConstants.__CLR4_4_17m7mlde037g3.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.image,GraphicsConstants,11,0,0,0,3,0,2,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPSchemaAdapter.__CLR4_4_1gv6gv6lde03ao1.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPArray.__CLR4_4_1gfjgfjlde03alf,93,35,1,1,0,1,3,1,2,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPProperty,455,454,118,40,43,60,80,18,6,13
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPSchema.__CLR4_4_1guvguvlde03anm,93,35,1,1,0,1,3,1,2,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,Metadata.__CLR4_4_1gd7gd7lde03al0,93,35,1,1,0,1,3,1,2,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPSerializer,232,120,51,9,20,20,32,3,2,3
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPSerializer.__CLR4_4_1h34h34lde03aoh.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPPacketParser,426,0,82,0,50,0,46,0,5,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPArray.__CLR4_4_1gfjgfjlde03alf.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPArrayType.__CLR4_4_1gjcgjclde03alv,93,35,1,1,0,1,3,1,2,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPSchemaRegistry.__CLR4_4_1h2nh2nlde03ao1.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPHandler.__CLR4_4_1gjigjilde03amq.new InvocationHandler() {...},39,0,2,0,1,0,3,0,2,0
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPSchemaRegistry.__CLR4_4_1h2nh2nlde03ao1,93,35,1,1,0,1,3,1,2,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPStructure.__CLR4_4_1h4dh4dlde03aoh,93,35,1,1,0,1,3,1,2,1
org.apache.xmlgraphics:xmlgraphics-commons,org.apache.xmlgraphics.xmp,XMPComplexValue,0,3,0,0,0,1,0,1,0,1
